id,left,top,right,bottom,dummy,tile_id
7210,-137.000416,58.000416,-135.999584,56.999584,dummy,N57W137
7211,-137.000416,57.000416,-135.999584,55.999584,dummy,N56W137
7212,-137.000416,56.000416,-135.999584,54.999584,dummy,N55W137
7213,-137.000416,55.000416,-135.999584,53.999584,dummy,N54W137
7381,-136.000416,58.000416,-134.999584,56.999584,dummy,N57W136
7382,-136.000416,57.000416,-134.999584,55.999584,dummy,N56W136
7383,-136.000416,56.000416,-134.999584,54.999584,dummy,N55W136
7384,-136.000416,55.000416,-134.999584,53.999584,dummy,N54W136
7552,-135.000416,58.000416,-133.999584,56.999584,dummy,N57W135
7553,-135.000416,57.000416,-133.999584,55.999584,dummy,N56W135
7554,-135.000416,56.000416,-133.999584,54.999584,dummy,N55W135
7555,-135.000416,55.000416,-133.999584,53.999584,dummy,N54W135
7723,-134.000416,58.000416,-132.999584,56.999584,dummy,N57W134
7724,-134.000416,57.000416,-132.999584,55.999584,dummy,N56W134
7725,-134.000416,56.000416,-132.999584,54.999584,dummy,N55W134
7726,-134.000416,55.000416,-132.999584,53.999584,dummy,N54W134
7894,-133.000416,58.000416,-131.999584,56.999584,dummy,N57W133
7895,-133.000416,57.000416,-131.999584,55.999584,dummy,N56W133
7896,-133.000416,56.000416,-131.999584,54.999584,dummy,N55W133
7897,-133.000416,55.000416,-131.999584,53.999584,dummy,N54W133
8066,-132.000416,57.000416,-130.999584,55.999584,dummy,N56W132
8067,-132.000416,56.000416,-130.999584,54.999584,dummy,N55W132
8068,-132.000416,55.000416,-130.999584,53.999584,dummy,N54W132
8237,-131.000416,57.000416,-129.999584,55.999584,dummy,N56W131
8238,-131.000416,56.000416,-129.999584,54.999584,dummy,N55W131
8239,-131.000416,55.000416,-129.999584,53.999584,dummy,N54W131
7369,-136.000416,70.000416,-134.999584,68.999584,dummy,N69W136
7370,-136.000416,69.000416,-134.999584,67.999584,dummy,N68W136
7371,-136.000416,68.000416,-134.999584,66.999584,dummy,N67W136
7540,-135.000416,70.000416,-133.999584,68.999584,dummy,N69W135
7541,-135.000416,69.000416,-133.999584,67.999584,dummy,N68W135
7542,-135.000416,68.000416,-133.999584,66.999584,dummy,N67W135
7712,-134.000416,69.000416,-132.999584,67.999584,dummy,N68W134
8224,-131.000416,70.000416,-129.999584,68.999584,dummy,N69W131
